term,coefficient,t_stat,p_value,r_squared,n_obs
const,-0.0021864816171717595,-0.3258901522974221,0.7445074666583209,0.12005823301760177,48
mkt_rf,-0.017628330985992948,-0.11177196435860397,0.9110042174016052,0.12005823301760177,48
smb,0.08017422145299119,0.301267229564927,0.7632107277644027,0.12005823301760177,48
hml,-0.23414255730636133,-0.8503624595083545,0.395123600758967,0.12005823301760177,48
rmw,-0.3859300116920649,-1.0724945910311439,0.2834979421322051,0.12005823301760177,48
cma,0.07274345806880583,0.21266726210871167,0.8315865036685361,0.12005823301760177,48
mom,0.3197964241228792,1.3493512543460937,0.17722416998586726,0.12005823301760177,48
