portfolio,months,mean_monthly_return,annualized_return,annualized_volatility,sharpe,max_drawdown
high,48,0.010359808072642047,0.11357112020066484,0.18346136954285966,0.619046508175841,-0.14414209176003956
low,48,0.012247154503120639,0.13385106817028514,0.20702820936873928,0.6465354097319276,-0.22267872883320505
middle,48,0.004751373873585576,0.03918407239047195,0.19593515138703932,0.19998490374537198,-0.31280898576006677
climate_risk_factor,48,-0.001887346430478595,-0.03379264147970229,0.1547259464814844,-0.21840319770637923,-0.28047794109017654
